dataset,n_full_obs,mcar_obs_prob,prop_budget,ess_multiplier,ess_multiplier_serr,coverage,coverage_serr,mean_width,mean_width_serr
bbh+gpqa+ifeval+math+musr,,1.0,0.025,2.2689763381884522,0.0004495598809590733,0.9496925858951175,0.00044065982841331547,0.10564286001026625,1.1127362814891615e-05
bbh+gpqa+ifeval+math+musr,,1.0,0.05,2.269120483220624,0.00029548160708877123,0.9490551537070524,0.0005199836161158539,0.07377759911119934,5.407657754059988e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.075,2.2688094297835795,0.00023623326130862993,0.9494846292947559,0.00046918257246788094,0.05941544611006971,3.7363214279584957e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.1,2.2688298328729193,0.00019118163212262346,0.9493399638336346,0.00047726181117268223,0.05076879531145091,2.4781718091269075e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.125,2.2688612701819504,0.00016244587600306338,0.9489963833634719,0.0004866662557631215,0.04478164266794916,1.8856778550030974e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.15,2.2688724143376766,0.00014580871560992994,0.949633815551537,0.0004993007848747269,0.04028073534369464,1.5760280570398926e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.175,2.2690155580986744,0.00013467958759129354,0.9503345388788427,0.0005006190121545896,0.03674464348703618,1.2912569129828407e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.2,2.2689545617146187,0.00013259081946735406,0.9493716094032549,0.0004772910075094373,0.03385026037693019,1.100975978601737e-06
bbh+gpqa+ifeval+math+musr,,1.0,0.225,2.269002290457222,0.00012586231590932644,0.9491003616636527,0.0004324321680422601,0.03140583168715234,9.019897631173801e-07
bbh+gpqa+ifeval+math+musr,,1.0,0.25,2.2689640974559353,0.00012199526400689692,0.9487025316455696,0.00044151982131846915,0.029313056226819706,7.818384691530663e-07
mmlu-pro,,1.0,0.025,2.0177531984213006,0.00035925431157875036,0.9490600994125622,0.0004660692333006045,0.08919718317687508,8.890118505670307e-06
mmlu-pro,,1.0,0.05,2.037809119998167,0.00027814237360881396,0.950325350203344,0.0004976332404229866,0.06193082552403207,6.0323427188921535e-06
mmlu-pro,,1.0,0.075,2.0543477763169316,0.0002884959698956224,0.9492769995481248,0.0005413509774599716,0.04969342164695258,4.001961682115268e-06
mmlu-pro,,1.0,0.1,2.066263896557751,0.000224891125026648,0.9489877993673747,0.0004715265366041787,0.042326190806925255,2.8668337398890775e-06
mmlu-pro,,1.0,0.125,2.0775938342578963,0.000272755866908835,0.9493086308178943,0.0004937688502453037,0.03722431626170869,2.8440583709468104e-06
mmlu-pro,,1.0,0.15,2.0892861185149934,0.0002733906168804166,0.9501536375960236,0.000493405932885304,0.033408274203538854,2.3614736491114617e-06
mmlu-pro,,1.0,0.175,2.098888383472425,0.00025595751618565386,0.9491956619972888,0.0004984201103967469,0.03039995349943633,2.0198262738639427e-06
mmlu-pro,,1.0,0.2,2.1078655670204434,0.000261176479939886,0.9490736556710349,0.000453992765677247,0.02794167703017587,1.933588916631953e-06
mmlu-pro,,1.0,0.225,2.1171707034993483,0.0002511670809229944,0.9495255309534569,0.00047672955864505655,0.025871037989854767,1.6898109814725987e-06
mmlu-pro,,1.0,0.25,2.1243478660821995,0.00024909301370509894,0.9492950745594215,0.00048248338599344334,0.024102845285087774,1.5457840668536134e-06
